Envases_plástico
23644
25970
29916
26617
29122
33051
26505
29529
33023
35140
34135
32040
32106
35694
38111
33921
42408
44376
37610
42978
39175
43799
47385
42200
46336
45255
48688
42387
52536
47965
42326
50788
43545
50650
50247
45706
46786
49322
49969
54294
58303
53259
55674
54488
58604
67234
58630
57918
54188
61548
67646
90180
78671
75641
68376
70486
83198
84068
76010
80514
73826
82423
100029
98892
94787
100944
74287
87216
106576
111180
106321
103137
90027
97699
120525
102783
114217
118264
93175
123448
117028
118548
133132
117637
103502
133412
133041
121155
146344
130666
115279
142089
127636
149167
140389
121328
117993
121257
142998
161308
149340
140557
124463
150275
139503
176534
135957
136781
123078
137407
153019
170261
163621
151500
154573
157375
168284
179381
151788
154346
136227
151307
167243
206194
170421
165169
146742
183908
216330
251263
166130
176267
140333
163442
208645
175427
188147
195660
151141
198754
171647
178928
206907
166782
152711
177979
203079
189722
214453
201985
152180
217233
184466
211801
221506
196317
188479
191160
217814
201115
251971
204938
177562
210614
186628
227020
189095
195614
182796
192118
218006
206612
240795
207660
194167
230481
190524
237010
196825
195374
179266
185846
195112
222027
196614
198181
185588
176438
180469
167577
154243
137740
110086
128890
149418
132927
123873
131234
118381
128211
141670
150903
148940
155676
131074
147413
186017
156572
164323
171554
146617
178934
167173
171984
171079
165345
148730
162170
189399
163449
180619
173720
145819
174973
160471
174881
180016
175445
166241
181870
188352
177589
199828
173909
172410
185112
170023
221092
192782
187079
183093
188993
198369
206280
205802
176889
184367
188800
180265
216538
198487
194119
182008
191877
210487
209471
215284
196486
203496
194976
197450
213195
190736
216278
175191
194266
217320
201833
206004
212185
217112
202558
213840
229246
216152
214171
180135
206950
238261
226118
222483
227723
196090
227343
223703
223003
240718
221666
193832
209073
236869
197548
228689
222050
191688
227943
207003
224006
239080
223196
213820
221730
241691
224393
247415
220710
220976
248179
228987
267735
253576
234277
220656
230155
247392
255877
266122
246230
262053
